chemical,Drug
CIDm00005373,Talampicillin
CIDm00005376,Tamoxifen
CIDm00005381,Tazarotene
CIDm00005386,Tegafur
CIDm00005391,Temazepam
CIDm00005394,Temozolomide
CIDm00005396,Teniposide
CIDm00005401,Terazosin
CIDm00005402,Terbinafine
CIDm00005403,Terbutaline
CIDm00005405,Terfenadine
CIDm00005408,Testosterone
CIDm00005411,Tetracaine
CIDm00005426,Thalidomide
CIDm00005430,Thiabendazole
CIDm00005440,Thiethylperazine
CIDm00005452,Thioridazine
CIDm00005453,Thiotepa
CIDm00005455,Thiram
CIDm00005466,Tiagabine
CIDm00005468,Tiaprofenic Acid
CIDm00005470,Tibolone
CIDm00005471,Ticarcillin
CIDm00005472,Ticlopidine
CIDm00005478,Timolol
CIDm00005479,Tinidazole
CIDm00005482,Tioconazole
CIDm00005483,Tiopronin
CIDm00005486,Tirofiban
CIDm00005487,Tizanidine
CIDm00005496,Tobramycin
CIDm00005503,Tolazamide
CIDm00005505,Tolbutamide
CIDm00005510,Tolnaftate
CIDm00005511,Tolperisone
CIDm00005512,Tolterodine
CIDm00005514,Topiramate
CIDm00005516,Toremifene
CIDm00005523,Tramadol
CIDm00005525,Trandolapril
CIDm00005526,Tranexamic Acid
CIDm00005530,Tranylcypromine
CIDm00005533,Trazodone
CIDm00005544,Triamcinolone
CIDm00005556,Triazolam
CIDm00005563,Triclofos
CIDm00005564,Triclosan
CIDm00005566,Trifluoperazine
CIDm00005574,Trimeprazine
CIDm00005578,Trimethoprim
CIDm00005584,Trimipramine
CIDm00005588,Triprolidine
CIDm00005593,Tropicamide
CIDm00005595,Tropisetron
CIDm00005596,Trospium
CIDm00005606,Tulobuterol
CIDm00005625,Delavirdine
CIDm00005650,Valsartan
CIDm00005656,Venlafaxine
CIDm00005665,Vigabatrin
CIDm00005666,Viloxazine
CIDm00005668,Vincamine
CIDm00005672,Vinorelbine
CIDm00005673,Vinpocetine
CIDm00005709,Xylometazoline
CIDm00005717,Zafirlukast
CIDm00005718,Zalcitabine
CIDm00005719,Zaleplon
CIDm00005721,Zanamivir
CIDm00005726,Zidovudine
CIDm00005731,Zolmitriptan
CIDm00005732,Zolpidem
CIDm00005733,Zomepirac
CIDm00005734,Zonisamide
CIDm00005735,Zopiclone
CIDm00005736,Zotepine
CIDm00005775,Phentolamine
CIDm00005878,Oxandrolone
CIDm00005956,Felypressin
CIDm00005978,Vincristine
CIDm00006018,Tetrabenazine
CIDm00006129,Carbaryl
CIDm00006212,Chloroform
CIDm00006256,Trifluridine
CIDm00006301,Chlorquinaldol
CIDm00006319,"N,N'-Diphenyl-P-Phenylenediamine"
CIDm00006374,Iodoform
CIDm00006389,Trichlorofluoromethane
CIDm00006391,Dichlorodifluoromethane
CIDm00006469,Ethoheptazine
CIDm00006616,Camphene
CIDm00006654,Alpha-Pinene
CIDm00006729,Buclizine
CIDm00006880,Glycol Salicylate
CIDm00006982,Chlorothymol
CIDm00006986,Menthone
CIDm00006989,Thymol
CIDm00007099,Proflavine
CIDm00007151,Methyl Nicotinate
CIDm00007187,Benzoyl Peroxide
CIDm00007191,Benzyl Nicotinate
CIDm00007338,Isoeugenol
CIDm00007652,Benzyl Cinnamate
CIDm00007697,Chlorphenesin
CIDm00007888,Hydroxycitronellal
CIDm00008042,Isopropyl Myristate
CIDm00009053,Fluocortolone
CIDm00009296,Treosulfan
CIDm00009331,Piritramide
CIDm00009354,Succimer
CIDm00009363,Ethamivan
CIDm00009417,Opipramol
CIDm00009433,Aminophylline
CIDm00009648,Dextromoramide
CIDm00009904,Nandrolone
CIDm00010049,Borneol
CIDm00010188,Dichloralphenazone
CIDm00010235,Cytisine
CIDm00010275,Amiphenazole
CIDm00010616,Ambucetamide
CIDm00010660,Dimenhydrinate
CIDm00010783,Chlormethiazole
CIDm00010987,Strontium Acetate
CIDm00011226,Phenoperidine
CIDm00011367,Diloxanide
CIDm00012215,Dimethyl Fumarate
CIDm00012555,Benzydamine
CIDm00013314,Lormetazepam
CIDm00013342,Vinblastine
CIDm00013355,Sodium Tartrate
CIDm00013505,Diphenoxylate
CIDm00014687,Ethynodiol
CIDm00014759,Amylmetacresol
CIDm00014781,Hydroxyapatite
CIDm00014791,Magnesium Hydroxide
CIDm00014792,Magnesium Oxide
CIDm00014797,Potassium Hydroxide
CIDm00014866,Nicoboxil
CIDm00014888,Arsenic Trioxide
CIDm00015020,Mesterolone
CIDm00015459,Metaxalone
CIDm00016065,Chlormadinone
CIDm00016229,Bamifylline
CIDm00016362,Pimozide
CIDm00016363,Benperidol
CIDm00016850,Fluorescein
CIDm00016886,Decitabine
CIDm00016887,Fast Green Fcf
CIDm00017100,Terpineol
CIDm00017134,Sulfadoxine
CIDm00017455,Diflucortolone
CIDm00017477,Ioglycamic Acid
CIDm00017506,Ethamsylate
CIDm00018140,Estramustine
CIDm00019005,Zinc Carbonate
CIDm00019090,Megestrol
CIDm00019190,Indocyanine Green
CIDm00019406,Fluclorolone Acetonide
CIDm00019861,Azatadine
CIDm00021054,Nifuratel
CIDm00021102,Benorylate
CIDm00021109,Trimetazidine
CIDm00021722,Iprindole
CIDm00021855,Dimethindene
CIDm00022258,Hydrocodone
CIDm00022530,Mebhydrolin
CIDm00023009,Nimorazole
CIDm00023429,Rifamycin
CIDm00023926,Lanthanum
CIDm00023930,Manganese
CIDm00023932,Molybdenum
CIDm00023957,Technetium-99m
CIDm00023987,Helium
CIDm00024266,Sodium Monofluorophosphate
CIDm00024403,Sodium Pyrophosphate
CIDm00024434,Potassium Nitrate
CIDm00024470,Silver Nitrate
CIDm00024502,Potassium Dichromate
CIDm00024550,Stannous Fluoride
CIDm00024699,Glyceryl Monostearate
CIDm00024733,Alphadolone Acetate
CIDm00024766,Chondroitin Sulfate
CIDm00025654,Reproterol
CIDm00026346,Cannabidiol
CIDm00026618,Xipamide
CIDm00026709,Deflazacort
CIDm00027125,Estetrol
CIDm00027400,Pizotifen
CIDm00027812,Gestrinone
CIDm00027991,Desmopressin
CIDm00030623,Dexrazoxane
CIDm00030951,Alclofenac
CIDm00031072,Carbimazole
CIDm00031378,Fludrocortisone
CIDm00031477,Metipranolol
CIDm00032797,Clobetasol
CIDm00033625,Indoramin
CIDm00033746,Ketazolam
CIDm00034312,Oxcarbazepine
CIDm00035375,Etofenamate
CIDm00035455,Feprazone
CIDm00035734,Metrizamide
CIDm00035802,Flubendazole
CIDm00036283,Rimiterol
CIDm00036339,Etomidate
CIDm00036811,Dobutamine
CIDm00037083,Norgestimate
CIDm00039042,Bezafibrate
CIDm00039507,Rimexolone
CIDm00039524,Stiripentol
CIDm00040027,Mezlocillin
CIDm00040159,Permethrin
CIDm00040632,Pirfenidone
CIDm00040839,Vindesine
CIDm00040973,Desogestrel
CIDm00041049,Meptazinol
CIDm00041317,Acitretin
CIDm00041693,Sufentanil
CIDm00041774,Acarbose
CIDm00041781,Torasemide
CIDm00042113,Desflurane
CIDm00042396,Prenalterol
CIDm00042615,Buserelin
CIDm00042955,Misoprostol
CIDm00044564,Lodoxamide
CIDm00047319,Atracurium
CIDm00047528,Nicorandil
CIDm00047725,Goserelin
CIDm00051263,Alfentanil
CIDm00051634,Miglustat
CIDm00053708,Enoximone
CIDm00054158,Mebrofenin
CIDm00054313,Iloprost
CIDm00054454,Simvastatin
CIDm00054547,Cefpodoxime
CIDm00054688,Clarithromycin
CIDm00054690,Cilastatin
CIDm00054786,Treprostinil
CIDm00055483,Dopexamine
CIDm00055645,Quinagolide
CIDm00055756,Acrivastine
CIDm00056959,Ranolazine
CIDm00057469,Imiquimod
CIDm00057537,Rotigotine
CIDm00059708,Levetiracetam
CIDm00059768,Esmolol
CIDm00060149,Sertindole
CIDm00060164,Adapalene
CIDm00060184,Perindopril
CIDm00060198,Exemestane
CIDm00060612,Dexmedetomidine
CIDm00060613,Cidofovir
CIDm00060787,Saquinavir
CIDm00060795,Aripiprazole
CIDm00060867,Levosimendan
CIDm00060877,Emtricitabine
CIDm00060953,Capecitabine
CIDm00062179,Loprazolam
CIDm00062816,Colestipol
CIDm00062924,Fluticasone
CIDm00062930,Norelgestromin
CIDm00062984,Ranitidine Bismuth Citrate
CIDm00064949,Propamidine
CIDm00065054,Benethamine Penicillin
CIDm00065130,Hexamidine
CIDm00065628,Bendamustine
CIDm00065632,Erdosteine
CIDm00065720,Terizidone
CIDm00065856,Reboxetine
CIDm00065866,Lercanidipine
CIDm00065906,Mizolastine
CIDm00065947,Prulifloxacin
CIDm00065985,Iobitridol
CIDm00066379,Stannous Pyrophosphate
CIDm00067425,Gallamine
CIDm00068613,Atosiban
CIDm00068733,Lacidipine
CIDm00068740,Zoledronic Acid
CIDm00068783,Nomegestrol
CIDm00068844,Brinzolamide
CIDm00068861,Dienogest
CIDm00068870,Tianeptine
CIDm00068873,Drospirenone
CIDm00068911,Artemether
CIDm00068926,Trimegestone
CIDm00068930,Alphaxalone
CIDm00069188,Ethyl Nicotinate
CIDm00071158,Acamprosate
CIDm00071217,Crotethamide
CIDm00071273,Ropivacaine
CIDm00071301,Nebivolol
CIDm00071316,Mivacurium
CIDm00071338,Quinupristin
CIDm00071616,Voriconazole
CIDm00071645,Mexenone
CIDm00071771,Aceclofenac
CIDm00072054,Darifenacin
CIDm00072081,Terlipressin
CIDm00072111,Rifaximin
CIDm00072128,Pentetreotide
CIDm00072474,Grepafloxacin
CIDm00073303,Doripenem
CIDm00073658,Telithromycin
CIDm00074989,Atovaquone
CIDm00077992,Frovatriptan
CIDm00077993,Eletriptan
CIDm00077996,Paricalcitol
CIDm00082146,Bexarotene
CIDm00082148,Agomelatine
CIDm00090202,Hexyl Nicotinate
CIDm00091488,Fluocinolone
CIDm00091610,Gliquidone
CIDm00093860,Bortezomib
CIDm00096312,Nelarabine
CIDm00102399,Dextran
CIDm00103023,Sorbitan
CIDm00104741,Fulvestrant
CIDm00104865,Bosentan
CIDm00108061,Disperse Blue 106
CIDm00108127,Tacalcitol
CIDm00110635,Tadalafil
CIDm00114709,Eslicarbazepine
CIDm00115066,Temocillin
CIDm00115237,Paliperidone
CIDm00119607,Valdecoxib
CIDm00119828,Parecoxib
CIDm00121892,Retigabine
CIDm00122262,Piperaquine
CIDm00122316,Rasagiline
CIDm00122872,Maribavir
CIDm00123597,Travoprost
CIDm00123606,Almotriptan
CIDm00123610,Eptifibatide
CIDm00123620,Mometasone
CIDm00123631,Gefitinib
CIDm00124087,Desloratadine
CIDm00125889,Pregabalin
CIDm00127909,Bimatoprost
CIDm00129228,Rufinamide
CIDm00129806,Rosuvastatin
CIDm00131682,Safinamide
CIDm00132971,Abiraterone
CIDm00132999,Ivabradine
CIDm00134018,Febuxostat
CIDm00134019,Pixantrone
CIDm00134780,Pomalidomide
CIDm00145068,Nitric Oxide
CIDm00147912,Posaconazole
CIDm00148127,Ospemifene
CIDm00148191,Temsirolimus
CIDm00148192,Atazanavir
CIDm00150310,Eplerenone
CIDm00150311,Ezetimibe
CIDm00150610,Ertapenem
CIDm00151166,Lumiracoxib
CIDm00151383,Fidaxomicin
CIDm00152945,Dutasteride
CIDm00156054,Almasilate
CIDm00156326,Asenapine
CIDm00157688,Vinflunine
CIDm00157920,Lubiprostone
CIDm00158781,Olmesartan
CIDm00160051,Colesevelam
CIDm00166548,Anidulafungin
CIDm00170361,Varenicline
CIDm00176870,Erlotinib
CIDm00176872,Everolimus
CIDm00185460,Bilastine
CIDm00193962,Etravirine
CIDm00197712,Ambrisentan
CIDm00208898,Dronedarone
CIDm00208908,Lapatinib
CIDm00213039,Darunavir
CIDm00213046,Lurasidone
CIDm00216209,Aliskiren
CIDm00216210,Dabigatran
CIDm00216235,Sitaxsentan
CIDm00216237,Tolvaptan
CIDm00216239,Sorafenib
CIDm00216326,Lenalidomide
CIDm00219078,Lacosamide
CIDm00219084,Gadoxetic Acid
CIDm00222786,Cortisone
CIDm00441332,Carboprost
CIDm00441382,Natamycin
CIDm00444033,Ciclesonide
CIDm00449193,Roflumilast
CIDm00452550,Tyrothricin
CIDm00477468,Micafungin
CIDm00483407,Maraviroc
CIDm00521308,Pholcodine
CIDm00522606,Sodium Perchlorate
CIDm00535161,Trilostane
CIDm00610479,Tolfenamic Acid
CIDm00656892,Bedaquiline
CIDm00666418,Prothionamide
CIDm00697993,2-Mercaptobenzothiazole
CIDm02733749,Thiacetazone
CIDm02761171,Ethionamide
CIDm03006171,Rilpivirine
CIDm03010818,Telaprevir
CIDm03052762,Prucalopride
CIDm03055172,Pimecrolimus
CIDm03081361,Vandetanib
CIDm03085017,Sevelamer
CIDm03086685,Axitinib
CIDm03086686,Sunitinib
CIDm04369359,Sitagliptin
CIDm04474062,Flosequinan
CIDm04630253,Alclometasone
CIDm04659568,Entacapone
CIDm04659569,Tolcapone
CIDm05251503,Noxythiolin
CIDm05251896,Vildagliptin
CIDm05281613,Diosmin
CIDm05310993,Acipimox
CIDm05311266,Magnesium Trisilicate
CIDm05328940,Bosutinib
CIDm05330286,Palbociclib
CIDm05360237,Troxerutin
CIDm05492271,Naloxol
CIDm06102852,Gadobutrol
CIDm06326970,Selenium
CIDm06331630,Eribulin
CIDm06398970,Cefdinir
CIDm06433091,Tapentadol
CIDm06433101,Tafluprost
CIDm06433117,Indacaterol
CIDm06433119,Rivaroxaban
CIDm06433516,Simethicone
CIDm06451149,Netupitant
CIDm06477186,Delamanid
CIDm06918182,Strontium Ranelate
CIDm06918456,Prasugrel
CIDm06918462,Retapamulin
CIDm06918485,Isavuconazole
CIDm06918486,Voclosporin
CIDm06918558,Fesoterodine
CIDm06918670,Ingenol Mebutate
CIDm06918837,Panobinostat
CIDm09796590,Orteronel
CIDm09811221,Cabazitaxel
CIDm09818231,Tofacitinib
CIDm09823820,Lenvatinib
CIDm09829523,Midostaurin
CIDm09834332,Brivaracetam
CIDm09835049,Avibactam
CIDm09852519,Avatrombopag
CIDm09853053,Lomitapide
CIDm09865528,Mirabegron
CIDm09869929,Avanafil
CIDm09887712,Dapagliflozin
CIDm09911830,Tivozanib
CIDm09912092,Apremilast
CIDm09913767,Selexipag
CIDm09915743,Neratinib
CIDm09916099,Letermovir
CIDm09924495,Perampanel
CIDm09941444,Pasireotide
CIDm09948102,Pitolisant
CIDm09966051,Vortioxetine
CIDm10096344,Linagliptin
CIDm10113978,Pazopanib
CIDm10127622,Selumetinib
CIDm10163178,Afatinib
CIDm10182969,Apixaban
CIDm10184665,Vilanterol
CIDm10280735,Edoxaban
CIDm10288191,Binimetinib
CIDm10311306,Rolapitant
CIDm10324367,Boceprevir
CIDm10440987,Carbetocin
CIDm10482134,Glycerol Phenylbutyrate
CIDm11001318,Tafamidis
CIDm11154555,Cariprazine
CIDm11163584,Alogliptin
CIDm11167602,Regorafenib
CIDm11219835,Ataluren
CIDm11224984,Ponesimod
CIDm11228026,Aclidinium
CIDm11234049,Tedizolid
CIDm11304743,Riociguat
CIDm11315474,Apatinib
CIDm11319217,Fostemsavir
CIDm11432307,Siponimod
CIDm11511120,Dacomitinib
CIDm11518241,Trifarotene
CIDm11556711,Carfilzomib
CIDm11597571,Crizotinib
CIDm11625818,Idelalisib
CIDm11671467,Fostamatinib
CIDm11842604,Veliparib
CIDm11949646,Empagliflozin
CIDm13559279,Ulipristal
CIDm15951529,Enzalutamide
CIDm16004692,Macitentan
CIDm16065945,Simeprevir
CIDm16129629,Daptomycin
CIDm16129690,Ziconotide
CIDm16129704,Bivalirudin
CIDm16129778,Tannic Acid
CIDm16130199,Enfuvirtide
CIDm16130957,Ganirelix
CIDm16136245,Degarelix
CIDm16220172,Ivacaftor
CIDm16222096,Cobimetinib
CIDm16678941,Lumacaftor
CIDm16722836,Fedratinib
CIDm17754772,Ruxolitinib
CIDm23725625,Olaparib
CIDm24776445,Vismodegib
CIDm24812758,Canagliflozin
CIDm24826799,Ponatinib
CIDm24900341,Daclatasvir
CIDm24950485,Cobicistat
CIDm24958198,Niraparib
CIDm25025295,Telotristat
CIDm25062766,Momelotinib
CIDm25074470,Triptorelin
CIDm25077405,Nafarelin
CIDm25094462,Sofosbuvir
CIDm25102847,Cabozantinib
CIDm25110515,Ozanimod
CIDm25166913,Glasdegib
CIDm25183872,Ixazomib
CIDm44129647,Relebactam
CIDm44205240,Baricitinib
CIDm44263835,Collodion
CIDm44462760,Dabrafenib
CIDm44631912,Ribociclib
CIDm44814423,Ertugliflozin
CIDm46220502,Abemaciclib
CIDm49846579,Venetoclax
CIDm49869707,Ledipasvir
CIDm51049968,Rimegepant
CIDm54677977,Teriflunomide
CIDm54680675,Clomocycline
CIDm54687131,Lymecycline
CIDm54726192,Eravacycline
CIDm54767916,Ombitasvir
CIDm56603655,Pegaptanib
CIDm56843331,Semaglutide
CIDm57330459,Elbasvir
CIDm57379345,Ceritinib
CIDm58460047,Doravirine
CIDm67682616,Velpatasvir
CIDm70683024,Pegfilgrastim
CIDm86278348,Ferric Derisomaltose
CIDm86278362,Pegvaliase
CIDs00000137,Aminolevulinic Acid
CIDs00000174,Polyethylene
CIDs00000253,Biotin
CIDs00000303,Sodium
CIDs00000338,Ethyl Salicylate
CIDs00000573,Beta Carotene
CIDs00000612,Sodium (S)-Lactate
CIDs00000614,Proline
CIDs00000745,Glutathione
CIDs00000785,Di-Iodohydroxyquinoline
CIDs00000785,Halquinol
CIDs00000785,Hydroxyquinoline
CIDs00000785,Quinoline Mixture
CIDs00000951,Noradrenaline
CIDs00000978,Aminobenzoic Acid
CIDs00000985,Isopropyl Palmitate
CIDs00001071,Retinol
CIDs00001110,Sodium Lauryl Ethyl Sulphosuccinate
CIDs00001254,Levomenthol
CIDs00001254,Racementhol
CIDs00001732,Cresol
CIDs00002330,Benzalkonium
CIDs00002683,Cetylpyridinium
CIDs00002720,Chlorothiazide
CIDs00002720,Polythiazide
CIDs00002758,Cineole
CIDs00002784,Clidinium
CIDs00002973,Desferrioxamine
CIDs00002997,Nordazepam
CIDs00003062,Digitalis
CIDs00003105,Dipivefrine
CIDs00003116,Distigmine
CIDs00003149,Domiphen
CIDs00003332,Demeclocycline
CIDs00003385,Fluorouracil
CIDs00003678,Alverine
CIDs00003746,Ipratropium
CIDs00004034,Meclozine
CIDs00004101,Methenamine
CIDs00004101,Silver
CIDs00004162,Methyprylone
CIDs00004212,Mitozantrone
CIDs00004374,Methylephedrine
CIDs00004627,Oxitropium
CIDs00004739,Vidarabine
CIDs00004832,Pipenzolate
CIDs00004904,Pridinol
CIDs00005215,Sulphadiazine
CIDs00005234,Linaclotide
CIDs00005320,Sulphacetamide
CIDs00005323,Sulphadimethoxine
CIDs00005325,Sulphamerazine
CIDs00005328,Sulphamethizole
CIDs00005329,Sulphamethoxazole
CIDs00005335,Sulphaphenazole
CIDs00005340,Sulphathiazole
CIDs00005342,Sulphinpyrazone
CIDs00005565,Trientine
CIDs00005634,Undecenoic Acid
CIDs00005746,Mitomycin
CIDs00005756,Oestriol
CIDs00005771,Oxytocin
CIDs00005857,Lynoestrenol
CIDs00005951,Serine
CIDs00006224,Sodium Acid Citrate
CIDs00006224,Sodium Citrate
CIDs00006287,Valine
CIDs00006651,Terpin
CIDs00007019,Aminoacridine
CIDs00007188,Carbon
CIDs00007188,Piper
CIDs00007628,Sodium Perborate
CIDs00007628,Tetrakis Copper Tetrafluoroborate
CIDs00008230,Vasopressin
CIDs00008612,Chloroprocaine
CIDs00010100,Dextropropoxyphene
CIDs00010631,Medroxyprogesterone
CIDs00011914,Mandelic Acid
CIDs00011974,Dibrompropamidine
CIDs00012035,Acetylcysteine
CIDs00014250,Human Clottable Protein
CIDs00014917,Calcium Fluoride
CIDs00014917,Sulphur Hexafluoride
CIDs00015684,Dichlorobenzyl Alcohol
CIDs00016960,Brompheniramine
CIDs00019003,Ciclacillin
CIDs00020469,Beclometasone
CIDs00021913,Carbenoxolone
CIDs00023576,Trimetaphan
CIDs00023703,Onasemnogene Abeparvovec
CIDs00023703,Urea Hydrogen Peroxide
CIDs00023993,Yttrium (90-Y) Dotatate
CIDs00024507,Potassium Sulphate
CIDs00024850,Aluminium Sulphate
CIDs00026815,Iron
CIDs00028864,Lysuride
CIDs00029327,Streptozocin
CIDs00031209,Alpha-Amylcinnamaldehyde
CIDs00031236,Phenoxyethanol
CIDs00031315,Oxyphenisatine
CIDs00031729,Ritodrine
CIDs00033613,Amoxycillin
CIDs00034055,Emepronium
CIDs00036523,Luteinising Hormone
CIDs00050294,Nedocromil
CIDs00062819,Follitropin Alfa
CIDs00062819,Follitropin Beta
CIDs00062819,Follitropin Delta
CIDs00062887,Cisatracurium
CIDs00062929,Norgestrel
CIDs00065111,Decyl Methyl Sulphoxide
CIDs00065358,Eudragits
CIDs00066376,Xenon Xe 133
CIDs00067678,Cystine
CIDs00071077,Serine
CIDs00071368,Sodium Iodide
CIDs00071380,Strontium Chloride
CIDs00071387,Clobetasone
CIDs00072454,Halofantrine
CIDs00078956,Tartaric Acid
CIDs00081263,Rhodiola
CIDs00091574,Zinc
CIDs00092093,N-Cyclohexyl-N'-Phenylparaphenylenediamine
CIDs00092093,Paraphenylenediamine
CIDs00104786,Chromium
CIDs00104905,Nickel
CIDs00107639,Nitrogen
CIDs00122218,Lecithin
CIDs00123127,Formaldehyde
CIDs00124886,Glutathione
CIDs00134971,Salicylic Acid
CIDs00136860,Acetic Acid
CIDs00145883,Sodium
CIDs00169298,Pinene (Alpha And Beta)
CIDs00171194,Senna
CIDs00172996,Liothyronine
CIDs00176077,Migalastat
CIDs00235905,Allyloestrenol
CIDs00287180,Acrosoxacin
CIDs00441074,Quinidine
CIDs00441477,Anti-D (Rho) Immunoglobulin
CIDs00444294,Camphorated Opium Tincture
CIDs00445621,Glucosamine
CIDs00446284,Eicosapentaenoic Acid
CIDs00448601,Octreotide
CIDs00636363,Urea
CIDs00656575,Cefsulodin
CIDs00656671,Sodium Metabisulphite
CIDs00657298,Propylthiouracil
CIDs00667476,Dienoestrol
CIDs00667490,Mercaptopurine
CIDs01712058,Alpha-Amylcinnamaldehyde
CIDs02723601,Thioguanine
CIDs03034756,Moxisylyte
CIDs03081442,Cobalt Chloride
CIDs05280805,Acalabrutinib
CIDs05280805,Ibrutinib
CIDs05280805,Oxerutins
CIDs05280805,Zanubrutinib
CIDs05284550,Dosulepin
CIDs05284558,Dexketoprofen
CIDs05284558,Ketoprofen
CIDs05284558,Sulfametopyrazine
CIDs05460439,Sirolimus
CIDs05461123,Silicone
CIDs05461982,Thallium
CIDs05486180,Ergometrine
CIDs05491664,Barium
CIDs06323266,Tipiracil
CIDs06328542,Potassium
CIDs06328547,Bismuth
CIDs06335512,Potassium Chloride (Potassium-42)
CIDs06335803,Calcium
CIDs06337039,Lithium
CIDs06337547,Magnesium
CIDs06398762,Ceftibuten
CIDs06398765,Rosa
CIDs06419973,Idoxuridine
CIDs06429875,Methandienone
CIDs06450358,Ivermectin
CIDs06603850,Flecainide
CIDs06603919,Orciprenaline
CIDs06728944,Rutoside
CIDs06914126,Dimethyl Ether
CIDs07098641,Protirelin
CIDs09865442,Loteprednol
CIDs09881577,Palmitic Acid
CIDs10334821,Duloxetine
CIDs10578170,Ibutamoren
CIDs10832988,Dinoprost
CIDs11051564,Ammonium Chloride
CIDs11182576,Potassium Thiocyanate
CIDs11182645,Nicotinic Acid
CIDs11228933,Mentha
CIDs11389380,Hydroquinone
CIDs11673481,Iobenguane
CIDs11726467,Bambuterol
CIDs12049213,Delorazepam
CIDs12208581,Sulfanilamide
CIDs12264368,Dimethyl Sulphoxide
CIDs12303748,Bromhexine
CIDs12877529,Diclofenac
CIDs12966981,Aminocaproic Acid
CIDs13000560,Benzoic Acid
CIDs16130140,Gramicidin
CIDs16132265,Corticotrophin
CIDs16132269,Gramicidin
CIDs16132283,Glucagon
CIDs16156130,Exenatide
CIDs16186200,Corticorelin
CIDs16211391,Sodium Acetate
CIDs16212001,Sodium Bicarbonate
CIDs16212252,Boric Acid
CIDs16213392,Succinic Acid
CIDs16213604,Phosphoric Acid
CIDs16216930,Methyl Salicylate
CIDs16217546,Lactic Acid
CIDs16219570,Gonadorelin
CIDs17753757,Crizanlizumab
CIDs18457515,Ethylenediamine
CIDs18457515,Ethylenediamine Diacetic Acid
CIDs22833874,Aprotinin
CIDs25203065,Dactinomycin
CIDs25216238,Ziprasidone
CIDs25224483,Nitric Acid
CIDs25225106,Rosiglitazone
CIDs25230784,Levocetirizine
CIDs25254387,Dapoxetine
CIDs42013940,Fenticonazole
CIDs44144393,Colistin
CIDs44450615,Polymyxin
CIDs45038720,Cyanamide
CIDs46780173,Carboplatin
CIDs46780922,Butriptyline
CIDs46782072,Lofexidine
CIDs46782127,Meropenem
CIDs46783103,Tolmetin
CIDs54146804,Choline Theophyllinate
CIDs54585418,Rimonabant
CIDs54676315,Ascorbic Acid
CIDs54676345,Chlortetracycline
CIDs54676345,Tetracycline
CIDs54682543,Meloxicam
CIDs54684470,Piroxicam
CIDs54697989,Minocycline
CIDs54727559,Warfarin
CIDs56627169,Sodium Phosphate
CIDs56841590,Sugammadex
CIDs57017735,Icatibant
CIDs57255515,Sodium Sulphate
CIDs57369425,Tipranavir
CIDs58203007,Cysteine
CIDs59847761,Glycopyrronium
CIDs71309005,Propylene Glycol
CIDs71309137,Malic Acid
CIDs71309219,Sodium Hydroxide
CIDs71309230,Sodium Lactate
CIDs71310294,Cetyl Alcohol
CIDs71310727,Prasterone
CIDs71312424,Sulphamethoxypyridazine
CIDs71749818,Dexamphetamine
CIDs71750765,Moexipril
CIDs71751457,Pamidronic Acid
CIDs71751604,Phenylbutyric Acid
CIDs71751717,Plerixafor
CIDs71752601,Tofenacin
CIDs71752924,Vilazodone
CIDs73415770,Gadofosveset
CIDs73995022,Casein
CIDs75125731,Methoxsalen
CIDs90768658,Inositol
CIDs91193406,Ethinylestradiol
CIDs91384429,Valproic Acid
CIDm00000137,Aminolevulinic Acid
CIDm00000174,Polyethylene
CIDm00000338,Ethyl Salicylate
CIDm00000581,Acetylcysteine
CIDm00000595,Cystine
CIDm00000612,Sodium (S)-Lactate
CIDm00000617,Serine
CIDm00000739,Anti-D (Rho) Immunoglobulin
CIDm00000745,Glutathione
CIDm00000785,Di-Iodohydroxyquinoline
CIDm00000785,Halquinol
CIDm00000785,Hydroxyquinoline
CIDm00000785,Quinoline Mixture
CIDm00000978,Aminobenzoic Acid
CIDm00000985,Isopropyl Palmitate
CIDm00001110,Sodium Lauryl Ethyl Sulphosuccinate
CIDm00001182,Valine
CIDm00001254,Levomenthol
CIDm00001254,Racementhol
CIDm00001732,Cresol
CIDm00002096,Allyloestrenol
CIDm00002171,Amoxycillin
CIDm00002308,Beclometasone
CIDm00002330,Benzalkonium
CIDm00002683,Cetylpyridinium
CIDm00002720,Chlorothiazide
CIDm00002720,Polythiazide
CIDm00002748,Ciclacillin
CIDm00002758,Cineole
CIDm00002784,Clidinium
CIDm00002891,Cobalt Sulphate
CIDm00002973,Desferrioxamine
CIDm00002997,Nordazepam
CIDm00003105,Dipivefrine
CIDm00003116,Distigmine
CIDm00003149,Domiphen
CIDm00003269,Oestriol
CIDm00003332,Demeclocycline
CIDm00003385,Fluorouracil
CIDm00003678,Alverine
CIDm00003746,Ipratropium
CIDm00003938,Lysuride
CIDm00004034,Meclozine
CIDm00004101,Methenamine
CIDm00004101,Silver
CIDm00004162,Methyprylone
CIDm00004212,Mitozantrone
CIDm00004374,Methylephedrine
CIDm00004627,Oxitropium
CIDm00004832,Pipenzolate
CIDm00004904,Pridinol
CIDm00005215,Sulphadiazine
CIDm00005234,Linaclotide
CIDm00005300,Streptozocin
CIDm00005320,Sulphacetamide
CIDm00005323,Sulphadimethoxine
CIDm00005325,Sulphamerazine
CIDm00005328,Sulphamethizole
CIDm00005329,Sulphamethoxazole
CIDm00005335,Sulphaphenazole
CIDm00005340,Sulphathiazole
