chemical,Drug
CIDs00005241,Ipodate
CIDs00005251,Sorbic Acid
CIDs00005253,Sotalol
CIDs00005291,Imatinib
CIDs00005314,Suxamethonium
CIDs00005318,Sulconazole
CIDs00005319,Sulfabenzamide
CIDs00005324,Sulfaguanidine
CIDs00005355,Sulpiride
CIDs00005356,Sulthiame
CIDs00005358,Sumatriptan
CIDs00005359,Suprofen
CIDs00005376,Tamoxifen
CIDs00005381,Tazarotene
CIDs00005386,Tegafur
CIDs00005391,Temazepam
CIDs00005394,Temozolomide
CIDs00005401,Terazosin
CIDs00005403,Terbutaline
CIDs00005405,Terfenadine
CIDs00005411,Tetracaine
CIDs00005426,Thalidomide
CIDs00005430,Thiabendazole
CIDs00005440,Thiethylperazine
CIDs00005452,Thioridazine
CIDs00005453,Thiotepa
CIDs00005455,Thiram
CIDs00005468,Tiaprofenic Acid
CIDs00005472,Ticlopidine
CIDs00005479,Tinidazole
CIDs00005482,Tioconazole
CIDs00005483,Tiopronin
CIDs00005487,Tizanidine
CIDs00005503,Tolazamide
CIDs00005505,Tolbutamide
CIDs00005510,Tolnaftate
CIDs00005511,Tolperisone
CIDs00005526,Tranexamic Acid
CIDs00005530,Tranylcypromine
CIDs00005533,Trazodone
CIDs00005556,Triazolam
CIDs00005563,Triclofos
CIDs00005564,Triclosan
CIDs00005566,Trifluoperazine
CIDs00005574,Trimeprazine
CIDs00005578,Trimethoprim
CIDs00005584,Trimipramine
CIDs00005593,Tropicamide
CIDs00005606,Tulobuterol
CIDs00005625,Delavirdine
CIDs00005656,Venlafaxine
CIDs00005665,Vigabatrin
CIDs00005666,Viloxazine
CIDs00005709,Xylometazoline
CIDs00005717,Zafirlukast
CIDs00005719,Zaleplon
CIDs00005732,Zolpidem
CIDs00005733,Zomepirac
CIDs00005734,Zonisamide
CIDs00005735,Zopiclone
CIDs00005736,Zotepine
CIDs00005743,Dexamethasone
CIDs00005755,Prednisolone
CIDs00005757,Estradiol
CIDs00005770,Reserpine
CIDs00005773,Cephaloridine
CIDs00005775,Phentolamine
CIDs00005780,Sorbitol
CIDs00005809,Hyoscine
CIDs00005833,Spironolactone
CIDs00005865,Prednisone
CIDs00005870,Estrone
CIDs00005878,Oxandrolone
CIDs00005906,Metaraminol
CIDs00005950,Alanine
CIDs00005956,Felypressin
CIDs00005959,Chloramphenicol
CIDs00005960,Aspartic Acid
CIDs00005962,Lysine
CIDs00005978,Vincristine
CIDs00005988,Sucrose
CIDs00005994,Progesterone
CIDs00006011,Drostanolone
CIDs00006013,Testosterone
CIDs00006018,Tetrabenazine
CIDs00006024,Cephalothin
CIDs00006032,Kanamycin
CIDs00006041,Phenylephrine
CIDs00006047,Levodopa
CIDs00006057,Tyrosine
CIDs00006087,Methicillin
CIDs00006098,Cloxacillin
CIDs00006106,Leucine
CIDs00006129,Carbaryl
CIDs00006137,Methionine
CIDs00006140,Phenylalanine
CIDs00006167,Colchicine
CIDs00006212,Chloroform
CIDs00006234,Cycloserine
CIDs00006249,Ampicillin
CIDs00006251,Mannitol
CIDs00006256,Trifluridine
CIDs00006262,Ornithine
CIDs00006267,Asparagine
CIDs00006274,Histidine
CIDs00006288,Threonine
CIDs00006291,Mestranol
CIDs00006301,Chlorquinaldol
CIDs00006305,Tryptophan
CIDs00006306,Isoleucine
CIDs00006319,"N,N'-Diphenyl-P-Phenylenediamine"
CIDs00006322,Arginine
CIDs00006374,Iodoform
CIDs00006389,Trichlorofluoromethane
CIDs00006391,Dichlorodifluoromethane
CIDs00006469,Ethoheptazine
CIDs00006616,Camphene
CIDs00006654,Alpha-Pinene
CIDs00006674,Dehydrocholic Acid
CIDs00006729,Buclizine
CIDs00006741,Methylprednisolone
CIDs00006742,Deoxycholic Acid
CIDs00006880,Glycol Salicylate
CIDs00006982,Chlorothymol
CIDs00006989,Thymol
CIDs00007028,Pseudoephedrine
CIDs00007099,Proflavine
CIDs00007151,Methyl Nicotinate
CIDs00007187,Benzoyl Peroxide
CIDs00007191,Benzyl Nicotinate
CIDs00007338,Isoeugenol
CIDs00007697,Chlorphenesin
CIDs00007888,Hydroxycitronellal
CIDs00008042,Isopropyl Myristate
CIDs00008223,Ergotamine
CIDs00008378,Neomycin
CIDs00008549,Quinine
CIDs00008567,Meglumine
CIDs00009051,Dydrogesterone
CIDs00009053,Fluocortolone
CIDs00009294,Ephedrine
CIDs00009331,Piritramide
CIDs00009363,Ethamivan
CIDs00009417,Opipramol
CIDs00009433,Aminophylline
CIDs00009642,Fluocinonide
CIDs00009648,Dextromoramide
CIDs00009651,Galantamine
CIDs00009681,Methysergide
CIDs00009782,Betamethasone
CIDs00009878,Fluorometholone
CIDs00009904,Nandrolone
CIDs00010188,Dichloralphenazone
CIDs00010235,Cytisine
CIDs00010275,Amiphenazole
CIDs00010531,Dihydroergotamine
CIDs00010607,Podophyllotoxin
CIDs00010616,Ambucetamide
CIDs00010660,Dimenhydrinate
CIDs00010783,Chlormethiazole
CIDs00010987,Strontium Acetate
CIDs00011226,Phenoperidine
CIDs00011333,Lactulose
CIDs00011367,Diloxanide
CIDs00012555,Benzydamine
CIDs00012560,Erythromycin
CIDs00012597,Isosorbide
CIDs00013109,Levonorgestrel
CIDs00013314,Lormetazepam
CIDs00013342,Vinblastine
CIDs00013355,Sodium Tartrate
CIDs00013505,Diphenoxylate
CIDs00014687,Ethynodiol
CIDs00014759,Amylmetacresol
CIDs00014781,Hydroxyapatite
CIDs00014791,Magnesium Hydroxide
CIDs00014792,Magnesium Oxide
CIDs00014797,Potassium Hydroxide
CIDs00014866,Nicoboxil
CIDs00014888,Arsenic Trioxide
CIDs00015020,Mesterolone
CIDs00015209,Flurandrenolone
CIDs00015376,Vincamine
CIDs00015459,Metaxalone
CIDs00015541,Spectinomycin
CIDs00016229,Bamifylline
CIDs00016362,Pimozide
CIDs00016363,Benperidol
CIDs00016490,Flumethasone
CIDs00016850,Fluorescein
CIDs00016887,Fast Green Fcf
CIDs00017100,Terpineol
CIDs00017134,Sulfadoxine
CIDs00017477,Ioglycamic Acid
CIDs00017506,Ethamsylate
CIDs00018283,Stavudine
CIDs00018381,Dicloxacillin
CIDs00019005,Zinc Carbonate
CIDs00019090,Megestrol
CIDs00019861,Azatadine
CIDs00020824,Carbenicillin
CIDs00021102,Benorylate
CIDs00021109,Trimetazidine
CIDs00021319,Flucloxacillin
CIDs00021722,Iprindole
CIDs00021855,Dimethindene
CIDs00022530,Mebhydrolin
CIDs00023009,Nimorazole
CIDs00023327,Glutamic Acid
CIDs00023926,Lanthanum
CIDs00023930,Manganese
CIDs00023932,Molybdenum
CIDs00023957,Technetium-99m
CIDs00023987,Helium
CIDs00024066,Zalcitabine
CIDs00024266,Sodium Monofluorophosphate
CIDs00024360,Camptothecin
CIDs00024403,Sodium Pyrophosphate
CIDs00024434,Potassium Nitrate
CIDs00024470,Silver Nitrate
CIDs00024502,Potassium Dichromate
CIDs00024550,Stannous Fluoride
CIDs00024699,Glyceryl Monostearate
CIDs00024766,Chondroitin Sulfate
CIDs00025249,Stanozolol
CIDs00025654,Reproterol
CIDs00026346,Cannabidiol
CIDs00026447,Menthone
CIDs00026476,Technetium-99m
CIDs00026618,Xipamide
CIDs00026757,Selegiline
CIDs00026879,Levamisole
CIDs00027125,Estetrol
CIDs00027400,Pizotifen
CIDs00027812,Gestrinone
CIDs00027991,Desmopressin
CIDs00028417,Danazol
CIDs00028693,Metergoline
CIDs00030623,Razoxane
CIDs00030951,Alclofenac
CIDs00031072,Carbimazole
CIDs00031307,Triamcinolone
CIDs00031378,Fludrocortisone
CIDs00031477,Metipranolol
CIDs00033032,Glutamic Acid
CIDs00033624,Timolol
CIDs00033625,Indoramin
CIDs00033672,Carfecillin
CIDs00033741,Tramadol
CIDs00033746,Ketazolam
CIDs00034312,Oxcarbazepine
CIDs00034359,Carbidopa
CIDs00035370,Zidovudine
CIDs00035375,Etofenamate
CIDs00035455,Feprazone
CIDs00035734,Metrizamide
CIDs00035802,Flubendazole
CIDs00036283,Rimiterol
CIDs00036294,Tobramycin
CIDs00036314,Paclitaxel
CIDs00036462,Etoposide
CIDs00036811,Dobutamine
CIDs00036921,Ticarcillin
CIDs00037464,Penbutolol
CIDs00037542,Ribavirin
CIDs00037768,Amikacin
CIDs00038103,Cephradine
CIDs00039031,Sulbenicillin
CIDs00039042,Bezafibrate
CIDs00039147,Nadolol
CIDs00039186,Diltiazem
CIDs00039468,Levobunolol
CIDs00039912,Dexibuprofen
CIDs00040326,Permethrin
CIDs00040632,Pirfenidone
CIDs00040692,Mefloquine
CIDs00040839,Vindesine
CIDs00040973,Desogestrel
CIDs00041049,Meptazinol
CIDs00041693,Sufentanil
CIDs00041774,Acarbose
CIDs00041781,Torasemide
CIDs00042113,Desflurane
