Molecule Name,Molecule ChEMBL ID,Target ChEMBL ID,Target Name,Activity ID,Assay ChEMBL ID,Standard Type,Standard Value,Standard Units,Reference
BENDAMUSTINE,CHEMBL487253,CHEMBL612558,ADMET,14536738,CHEMBL3223087,Cmax,393000.0,nM,CHEMBL3217584
BENZBROMARONE,CHEMBL388590,CHEMBL372,Homo sapiens,18052155,CHEMBL4011675,Cmax,4339.0,nM,CHEMBL4011582
BENZBROMARONE,CHEMBL388590,CHEMBL612558,ADMET,22898953,CHEMBL4731280,Cmax,10422.32,nM,CHEMBL4725450
BENZBROMARONE,CHEMBL388590,CHEMBL612558,ADMET,22934380,CHEMBL4739220,Cmax,10422.32,nM,CHEMBL4732254
BENZBROMARONE,CHEMBL388590,CHEMBL612558,ADMET,25577221,CHEMBL5353072,Cmax,10021.46,nM,CHEMBL5352398
BENZBROMARONE,CHEMBL388590,CHEMBL612558,ADMET,25577223,CHEMBL5353073,Cmax,34568.13,nM,CHEMBL5352398
BENZYLPENICILLIN,CHEMBL29,CHEMBL372,Homo sapiens,2126526,CHEMBL935118,Cmax,435107.66,nM,CHEMBL1143817
BENZYLPENICILLIN,CHEMBL29,CHEMBL372,Homo sapiens,2126532,CHEMBL935119,Cmax,176136.36,nM,CHEMBL1143817
BENZYLPENICILLIN,CHEMBL29,CHEMBL372,Homo sapiens,2126539,CHEMBL935120,Cmax,65789.47,nM,CHEMBL1143817
BENZYLPENICILLIN,CHEMBL29,CHEMBL372,Homo sapiens,2126540,CHEMBL935121,Cmax,134569.38,nM,CHEMBL1143817
BEXAROTENE,CHEMBL1023,CHEMBL372,Homo sapiens,18228955,CHEMBL4049694,Cmax,3390.0,nM,CHEMBL4049385
BEXAROTENE,CHEMBL1023,CHEMBL612558,ADMET,23271868,CHEMBL4835441,Cmax,1721.71,nM,CHEMBL4834419
BICALUTAMIDE,CHEMBL409,CHEMBL376,Rattus norvegicus,1673724,CHEMBL858795,Cmax,3278.5,nM,CHEMBL1147729
BICALUTAMIDE,CHEMBL409,CHEMBL376,Rattus norvegicus,1673728,CHEMBL858844,Cmax,4630.79,nM,CHEMBL1147729
BICALUTAMIDE,CHEMBL409,CHEMBL376,Rattus norvegicus,1673732,CHEMBL858848,Cmax,745.85,nM,CHEMBL1147729
BICALUTAMIDE,CHEMBL409,CHEMBL375,Mus musculus,2114807,CHEMBL933065,Cmax,110000.0,nM,CHEMBL1142249
BICALUTAMIDE,CHEMBL409,CHEMBL372,Homo sapiens,17805884,CHEMBL3889377,Cmax,1784.47,nM,CHEMBL3832048
BICALUTAMIDE,CHEMBL409,CHEMBL372,Homo sapiens,18052156,CHEMBL4011675,Cmax,1970.0,nM,CHEMBL4011582
BOCEPREVIR,CHEMBL218394,CHEMBL376,Rattus norvegicus,2408475,CHEMBL956761,Cmax,130.0,nM,CHEMBL1153965
BOCEPREVIR,CHEMBL218394,CHEMBL612558,ADMET,22903111,CHEMBL4732343,Cmax,3309.67,nM,CHEMBL4732021
BORTEZOMIB,CHEMBL325041,CHEMBL376,Rattus norvegicus,3117234,CHEMBL1064370,Cmax,2815.88,nM,CHEMBL1157599
BORTEZOMIB,CHEMBL325041,CHEMBL376,Rattus norvegicus,3117241,CHEMBL1064377,Cmax,419.0,nM,CHEMBL1157599
BORTEZOMIB,CHEMBL325041,CHEMBL376,Rattus norvegicus,5107885,CHEMBL1640653,Cmax,419.0,nM,CHEMBL1629441
BORTEZOMIB,CHEMBL325041,CHEMBL376,Rattus norvegicus,5107913,CHEMBL1640660,Cmax,2815.88,nM,CHEMBL1629441
BOSENTAN,CHEMBL957,CHEMBL372,Homo sapiens,18052157,CHEMBL4011675,Cmax,7433.0,nM,CHEMBL4011582
BRIGATINIB,CHEMBL3545311,CHEMBL376,Rattus norvegicus,16636021,CHEMBL3824718,Cmax,522.16,nM,CHEMBL3822358
BRIGATINIB,CHEMBL3545311,CHEMBL375,Mus musculus,16636064,CHEMBL3824723,Cmax,766.98,nM,CHEMBL3822358
BRIGATINIB,CHEMBL3545311,CHEMBL612558,ADMET,24741626,CHEMBL5117934,Cmax,1587.03,nM,CHEMBL5113487
BRIGATINIB,CHEMBL3545311,CHEMBL612558,ADMET,25481337,CHEMBL5327358,Cmax,1587.03,nM,CHEMBL5325448
BROMOCRIPTINE,CHEMBL493,CHEMBL372,Homo sapiens,18704898,CHEMBL4255734,Cmax,0.711,nM,CHEMBL4251695
BROMOCRIPTINE,CHEMBL493,CHEMBL612558,ADMET,25553912,CHEMBL5346630,Cmax,0.9593,nM,CHEMBL5344475
BROMPHENIRAMINE,CHEMBL811,CHEMBL372,Homo sapiens,18052113,CHEMBL4011675,Cmax,36.0,nM,CHEMBL4011582
BUDESONIDE,CHEMBL1370,CHEMBL372,Homo sapiens,17805516,CHEMBL3889346,Cmax,5.0,nM,CHEMBL3832549
BUDESONIDE,CHEMBL1370,CHEMBL612558,ADMET,18503433,CHEMBL4189820,Cmax,127.0,nM,CHEMBL4184331
BUDESONIDE,CHEMBL1370,CHEMBL612558,ADMET,18503437,CHEMBL4189821,Cmax,18.67,nmol/g,CHEMBL4184331
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496201,CHEMBL1262011,Cmax,95.93,nM,CHEMBL1255313
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496202,CHEMBL1262010,Cmax,104.28,nM,CHEMBL1255313
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496215,CHEMBL1261871,Cmax,1297.18,nM,CHEMBL1255313
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496216,CHEMBL1261870,Cmax,1355.58,nM,CHEMBL1255313
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496229,CHEMBL1261861,Cmax,1376.43,nM,CHEMBL1255313
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496230,CHEMBL1261860,Cmax,1439.0,nM,CHEMBL1255313
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496237,CHEMBL1264126,Cmax,333.68,nM,CHEMBL1255313
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496238,CHEMBL1264125,Cmax,458.81,nM,CHEMBL1255313
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496245,CHEMBL1264118,Cmax,784.15,nM,CHEMBL1255313
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496246,CHEMBL1263993,Cmax,980.19,nM,CHEMBL1255313
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496253,CHEMBL1262365,Cmax,1113.66,nM,CHEMBL1255313
BUPROPION,CHEMBL894,CHEMBL372,Homo sapiens,3496254,CHEMBL1262366,Cmax,1439.0,nM,CHEMBL1255313
BUSPIRONE,CHEMBL49,CHEMBL376,Rattus norvegicus,1718681,CHEMBL859031,Cmax,10.38,nM,CHEMBL1147799
BUSPIRONE,CHEMBL49,CHEMBL373,Canis familiaris,1718864,CHEMBL859034,Cmax,378.72,nM,CHEMBL1147799
BUSPIRONE,CHEMBL49,CHEMBL372,Homo sapiens,18052109,CHEMBL4011675,Cmax,5.0,nM,CHEMBL4011582
CEFDINIR,CHEMBL927,CHEMBL375,Mus musculus,904669,CHEMBL624580,Cmax,6322.39,nM,CHEMBL1127135
CEFDINIR,CHEMBL927,CHEMBL376,Rattus norvegicus,904674,CHEMBL626583,Cmax,15173.74,nM,CHEMBL1127135
CEFDINIR,CHEMBL927,CHEMBL612558,ADMET,904679,CHEMBL626572,Cmax,14667.95,nM,CHEMBL1127135
CEFIXIME,CHEMBL1541,CHEMBL372,Homo sapiens,3536668,CHEMBL1282082,Cmax,6615.8,nM,CHEMBL1275510
CEFTAROLINE FOSAMIL,CHEMBL501122,CHEMBL374,Oryctolagus cuniculus,2502950,CHEMBL986838,Cmax,31984.81,nM,CHEMBL1143426
CEFTAROLINE FOSAMIL,CHEMBL501122,CHEMBL376,Rattus norvegicus,3389043,CHEMBL1216455,Cmax,37242.59,nM,CHEMBL1212792
CEFTAROLINE FOSAMIL,CHEMBL501122,CHEMBL374,Oryctolagus cuniculus,3389047,CHEMBL1216459,Cmax,37680.74,nM,CHEMBL1212792
CEFTAROLINE FOSAMIL,CHEMBL501122,CHEMBL614875,Rhesus monkey,3389051,CHEMBL1216463,Cmax,37388.64,nM,CHEMBL1212792
CEFTAROLINE FOSAMIL,CHEMBL501122,CHEMBL376,Rattus norvegicus,3389055,CHEMBL1216467,Cmax,39579.38,nM,CHEMBL1212792
CEFTAROLINE FOSAMIL,CHEMBL501122,CHEMBL374,Oryctolagus cuniculus,3389059,CHEMBL1216471,Cmax,99021.47,nM,CHEMBL1212792
CEFTAROLINE FOSAMIL,CHEMBL501122,CHEMBL614875,Rhesus monkey,3389063,CHEMBL1216475,Cmax,100920.11,nM,CHEMBL1212792
CEFTAROLINE FOSAMIL,CHEMBL501122,CHEMBL372,Homo sapiens,5163301,CHEMBL1667075,Cmax,27749.38,nM,CHEMBL1649541
CEFTAROLINE FOSAMIL,CHEMBL501122,CHEMBL372,Homo sapiens,5163302,CHEMBL1667076,Cmax,30670.37,nM,CHEMBL1649541
CEFTAZIDIME,CHEMBL44354,CHEMBL612558,ADMET,2627468,CHEMBL964430,Cmax,173.8,ug.mL-1,CHEMBL1137630
CEFTAZIDIME,CHEMBL44354,CHEMBL372,Homo sapiens,3456218,CHEMBL1247544,Cmax,445.0,ug.mL-1,CHEMBL1240401
CEFTAZIDIME,CHEMBL44354,CHEMBL372,Homo sapiens,3456223,CHEMBL1247549,Cmax,210.0,ug.mL-1,CHEMBL1240401
CEFTIBUTEN,CHEMBL1605,CHEMBL372,Homo sapiens,3536665,CHEMBL1282082,Cmax,36547.04,nM,CHEMBL1275510
CEFTOBIPROLE,CHEMBL520642,CHEMBL374,Oryctolagus cuniculus,3476834,CHEMBL1263195,Cmax,44520.93,nM,CHEMBL1255345
CEFTOBIPROLE,CHEMBL520642,CHEMBL374,Oryctolagus cuniculus,3476837,CHEMBL1263198,Cmax,155823.26,nM,CHEMBL1255345
CEFTOBIPROLE,CHEMBL520642,CHEMBL374,Oryctolagus cuniculus,3476850,CHEMBL1263201,Cmax,41340.87,nM,CHEMBL1255345
CEFTOBIPROLE,CHEMBL520642,CHEMBL374,Oryctolagus cuniculus,3476851,CHEMBL1263202,Cmax,110179.95,nM,CHEMBL1255345
CEFTOBIPROLE,CHEMBL520642,CHEMBL372,Homo sapiens,3476857,CHEMBL1263203,Cmax,63975.46,nM,CHEMBL1255345
CEFTOBIPROLE,CHEMBL520642,CHEMBL374,Oryctolagus cuniculus,3476858,CHEMBL1263219,Cmax,143664.18,nM,CHEMBL1255345
CEFTOBIPROLE,CHEMBL520642,CHEMBL375,Mus musculus,3538414,CHEMBL1281402,Cmax,269370.35,nM,CHEMBL1275519
CEFTOBIPROLE,CHEMBL520642,CHEMBL375,Mus musculus,3538415,CHEMBL1281401,Cmax,58363.58,nM,CHEMBL1275519
CEFTOBIPROLE,CHEMBL520642,CHEMBL375,Mus musculus,3538416,CHEMBL1281400,Cmax,20202.78,nM,CHEMBL1275519
CEFTOBIPROLE,CHEMBL520642,CHEMBL375,Mus musculus,3569916,CHEMBL1281623,Cmax,3254.89,nM,CHEMBL1275429
CEFTOBIPROLE,CHEMBL520642,CHEMBL375,Mus musculus,3569917,CHEMBL1281622,Cmax,5443.53,nM,CHEMBL1275429
CEFTOBIPROLE,CHEMBL520642,CHEMBL375,Mus musculus,3569918,CHEMBL1281621,Cmax,36944.89,nM,CHEMBL1275429
CEFTOBIPROLE,CHEMBL520642,CHEMBL375,Mus musculus,3569919,CHEMBL1281620,Cmax,72187.51,nM,CHEMBL1275429
CEFTOBIPROLE,CHEMBL520642,CHEMBL613424,Plasma,5152035,CHEMBL1653161,Cmax,48262.19,nM,CHEMBL1649472
CEFTOBIPROLE,CHEMBL520642,CHEMBL612558,ADMET,5152044,CHEMBL1653283,Cmax,17976.73,nM,CHEMBL1649472
CEFTOBIPROLE,CHEMBL520642,CHEMBL612558,ADMET,5152045,CHEMBL1653288,Cmax,26188.78,nM,CHEMBL1649472
CEFTOLOZANE,CHEMBL2103872,CHEMBL372,Homo sapiens,3548793,CHEMBL1283696,Cmax,24748.76,nM,CHEMBL1275247
CEFTOLOZANE,CHEMBL2103872,CHEMBL372,Homo sapiens,3548794,CHEMBL1283697,Cmax,48297.59,nM,CHEMBL1275247
CEFTOLOZANE,CHEMBL2103872,CHEMBL372,Homo sapiens,3548795,CHEMBL1283225,Cmax,87595.62,nM,CHEMBL1275247
CEFTOLOZANE,CHEMBL2103872,CHEMBL372,Homo sapiens,3548796,CHEMBL1283520,Cmax,49947.5,nM,CHEMBL1275247
CEFTOLOZANE,CHEMBL2103872,CHEMBL372,Homo sapiens,3548797,CHEMBL1283521,Cmax,79196.04,nM,CHEMBL1275247
CEFTOLOZANE,CHEMBL2103872,CHEMBL372,Homo sapiens,3548798,CHEMBL1283522,Cmax,86995.65,nM,CHEMBL1275247
CEFTOLOZANE,CHEMBL2103872,CHEMBL372,Homo sapiens,3548799,CHEMBL1283523,Cmax,128093.6,nM,CHEMBL1275247
CEFTOLOZANE,CHEMBL2103872,CHEMBL372,Homo sapiens,3548800,CHEMBL1283524,Cmax,123893.81,nM,CHEMBL1275247
CEFTOLOZANE,CHEMBL2103872,CHEMBL372,Homo sapiens,3548801,CHEMBL1283226,Cmax,131093.45,nM,CHEMBL1275247
CEFTOLOZANE,CHEMBL2103872,CHEMBL372,Homo sapiens,3548802,CHEMBL1283227,Cmax,191540.42,nM,CHEMBL1275247
CEFTOLOZANE,CHEMBL2103872,CHEMBL372,Homo sapiens,3548810,CHEMBL1283519,Cmax,51447.43,nM,CHEMBL1275247
CEFUROXIME,CHEMBL1436,CHEMBL372,Homo sapiens,5159734,CHEMBL1663039,Cmax,61264.4,nM,CHEMBL1649157
CELECOXIB,CHEMBL118,CHEMBL373,Canis familiaris,588517,CHEMBL624545,Cmax,1415.91,nM,CHEMBL1146718
CELECOXIB,CHEMBL118,CHEMBL376,Rattus norvegicus,914511,CHEMBL641870,Cmax,6476.48,nM,CHEMBL1145080
CELECOXIB,CHEMBL118,CHEMBL612558,ADMET,24355238,CHEMBL5033164,Cmax,3146.47,nM,CHEMBL5032505
CEPHALOTHIN,CHEMBL617,CHEMBL372,Homo sapiens,5165747,CHEMBL1655143,Cmax,97616.35,nM,CHEMBL1649272
CEPHALOTHIN,CHEMBL617,CHEMBL372,Homo sapiens,5165748,CHEMBL1655144,Cmax,53726.83,nM,CHEMBL1649272
CERITINIB,CHEMBL2403108,CHEMBL613847,Cynomolgus monkey,13365827,CHEMBL2405500,Cmax,2526.0,nM,CHEMBL2401692
CERITINIB,CHEMBL2403108,CHEMBL373,Canis familiaris,13365831,CHEMBL2405509,Cmax,2329.0,nM,CHEMBL2401692
CERITINIB,CHEMBL2403108,CHEMBL373,Canis familiaris,13365837,CHEMBL2405505,Cmax,1899.0,nM,CHEMBL2401692
CERITINIB,CHEMBL2403108,CHEMBL375,Mus musculus,13365839,CHEMBL2405529,Cmax,1756.0,nM,CHEMBL2401692
CERITINIB,CHEMBL2403108,CHEMBL613847,Cynomolgus monkey,13365840,CHEMBL2405498,Cmax,1697.0,nM,CHEMBL2401692
CERITINIB,CHEMBL2403108,CHEMBL376,Rattus norvegicus,13365851,CHEMBL2405519,Cmax,770.0,nM,CHEMBL2401692
CERITINIB,CHEMBL2403108,CHEMBL375,Mus musculus,13365852,CHEMBL2405525,Cmax,696.0,nM,CHEMBL2401692
CERITINIB,CHEMBL2403108,CHEMBL376,Rattus norvegicus,13365873,CHEMBL2405515,Cmax,259.0,nM,CHEMBL2401692
CERITINIB,CHEMBL2403108,CHEMBL376,Rattus norvegicus,17952590,CHEMBL3993030,Cmax,160.89,nM,CHEMBL3992504
CERITINIB,CHEMBL2403108,CHEMBL612558,ADMET,19026319,CHEMBL4348509,Cmax,102.23,nM,CHEMBL4346688
CERITINIB,CHEMBL2403108,CHEMBL612558,ADMET,22820409,CHEMBL4716205,Cmax,161.25,nM,CHEMBL4715694
CERIVASTATIN,CHEMBL1477,CHEMBL372,Homo sapiens,2075549,CHEMBL944788,Cmax,25.0,nM,CHEMBL1140824
CHENODIOL,CHEMBL240597,CHEMBL372,Homo sapiens,18052132,CHEMBL4011675,Cmax,8000.0,nM,CHEMBL4011582
CHLOROQUINE,CHEMBL76,CHEMBL372,Homo sapiens,2628582,CHEMBL948867,Cmax,240.0,nM,CHEMBL1137635
CHLOROQUINE,CHEMBL76,CHEMBL375,Mus musculus,3277340,CHEMBL1103816,Cmax,444.3,nM,CHEMBL1157913
CHLOROQUINE,CHEMBL76,CHEMBL372,Homo sapiens,3486188,CHEMBL1264534,Cmax,1544.33,nM,CHEMBL1255405
CHLOROQUINE,CHEMBL76,CHEMBL372,Homo sapiens,3486189,CHEMBL1264533,Cmax,1234.84,nM,CHEMBL1255405
CHLOROQUINE,CHEMBL76,CHEMBL372,Homo sapiens,3486190,CHEMBL1264532,Cmax,925.35,nM,CHEMBL1255405
CHLOROQUINE,CHEMBL76,CHEMBL372,Homo sapiens,3486191,CHEMBL1264531,Cmax,1175.44,nM,CHEMBL1255405
CHLOROQUINE,CHEMBL76,CHEMBL372,Homo sapiens,3486211,CHEMBL1264539,Cmax,581.47,nM,CHEMBL1255405
CHLOROQUINE,CHEMBL76,CHEMBL372,Homo sapiens,3486212,CHEMBL1264540,Cmax,434.54,nM,CHEMBL1255405
CHLOROQUINE,CHEMBL76,CHEMBL372,Homo sapiens,3486213,CHEMBL1264685,Cmax,578.34,nM,CHEMBL1255405
CHLOROQUINE,CHEMBL76,CHEMBL372,Homo sapiens,3486214,CHEMBL1264686,Cmax,725.27,nM,CHEMBL1255405
CHLOROQUINE,CHEMBL76,CHEMBL376,Rattus norvegicus,13400428,CHEMBL2415294,Cmax,16346.76,nM,CHEMBL2413038
CHLORTHALIDONE,CHEMBL1055,CHEMBL372,Homo sapiens,17806337,CHEMBL3889448,Cmax,10921.86,nM,CHEMBL3832036
CIMETIDINE,CHEMBL30,CHEMBL372,Homo sapiens,12064135,CHEMBL2154113,Cmax,11900.0,nM,CHEMBL2150997
CINACALCET,CHEMBL1201284,CHEMBL612558,ADMET,25570592,CHEMBL5351177,Cmax,270.0,nM,CHEMBL5346964
CINACALCET,CHEMBL1201284,CHEMBL612558,ADMET,25570598,CHEMBL5351180,Cmax,500.0,nM,CHEMBL5346964
CIPROFLOXACIN,CHEMBL8,CHEMBL373,Canis familiaris,170007,CHEMBL626035,Cmax,9053.87,nM,CHEMBL1124630
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,407374,CHEMBL632166,Cmax,17805.95,nM,CHEMBL1126257
CIPROFLOXACIN,CHEMBL8,CHEMBL373,Canis familiaris,407378,CHEMBL632165,Cmax,9053.87,nM,CHEMBL1126257
CIPROFLOXACIN,CHEMBL8,CHEMBL376,Rattus norvegicus,444870,CHEMBL627784,Cmax,452.69,nM,CHEMBL1130900
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,614646,CHEMBL626012,Cmax,18107.74,nM,CHEMBL1125733
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,614650,CHEMBL626014,Cmax,45269.35,nM,CHEMBL1125733
CIPROFLOXACIN,CHEMBL8,CHEMBL373,Canis familiaris,614654,CHEMBL626010,Cmax,9053.87,nM,CHEMBL1125733
CIPROFLOXACIN,CHEMBL8,CHEMBL376,Rattus norvegicus,658171,CHEMBL627600,Cmax,2716.16,nM,CHEMBL1130731
CIPROFLOXACIN,CHEMBL8,CHEMBL373,Canis familiaris,658176,CHEMBL621661,Cmax,2746.34,nM,CHEMBL1130731
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,1020582,CHEMBL623791,Cmax,18107.74,nM,CHEMBL1125506
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,1020586,CHEMBL623790,Cmax,66395.05,nM,CHEMBL1125506
CIPROFLOXACIN,CHEMBL8,CHEMBL359,Bacillus subtilis,1104020,CHEMBL625310,Cmax,9053.87,nM,CHEMBL1124759
CIPROFLOXACIN,CHEMBL8,CHEMBL376,Rattus norvegicus,1115054,CHEMBL622923,Cmax,13248.83,nM,CHEMBL1147605
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,1835656,CHEMBL917963,Cmax,3621.55,nM,CHEMBL1142211
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,1867956,CHEMBL916975,Cmax,19918.52,nM,CHEMBL1147119
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,1867957,CHEMBL916976,Cmax,32292.14,nM,CHEMBL1147119
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,1867958,CHEMBL916977,Cmax,60359.14,nM,CHEMBL1147119
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,1868351,CHEMBL919288,Cmax,10140.33,nM,CHEMBL1147099
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,1868352,CHEMBL919289,Cmax,23298.63,nM,CHEMBL1147099
CIPROFLOXACIN,CHEMBL8,CHEMBL372,Homo sapiens,2628573,CHEMBL948858,Cmax,7600.0,nM,CHEMBL1137635
CIPROFLOXACIN,CHEMBL8,CHEMBL372,Homo sapiens,2667148,CHEMBL1032830,Cmax,12071.83,nM,CHEMBL1151474
CIPROFLOXACIN,CHEMBL8,CHEMBL372,Homo sapiens,3548988,CHEMBL1284377,Cmax,7544.89,nM,CHEMBL1275251
CIPROFLOXACIN,CHEMBL8,CHEMBL372,Homo sapiens,3548989,CHEMBL1284378,Cmax,13279.01,nM,CHEMBL1275251
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,5086042,CHEMBL1633247,Cmax,6790.4,nM,CHEMBL1629568
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,5223897,CHEMBL1674528,Cmax,3319.75,nM,CHEMBL1671667
CIPROFLOXACIN,CHEMBL8,CHEMBL375,Mus musculus,18793609,CHEMBL4273324,Cmax,9443.19,nM,CHEMBL4270565
CIPROFLOXACIN,CHEMBL8,CHEMBL612558,ADMET,19051732,CHEMBL4354991,Cmax,10562.85,nM,CHEMBL4354782
CIPROFLOXACIN,CHEMBL8,CHEMBL612558,ADMET,19248685,CHEMBL4401016,Cmax,9443.19,nM,CHEMBL4400520
CLARITHROMYCIN,CHEMBL1741,CHEMBL375,Mus musculus,948576,CHEMBL640917,Cmax,1617.73,nM,CHEMBL1145811
CLARITHROMYCIN,CHEMBL1741,CHEMBL375,Mus musculus,948578,CHEMBL640916,Cmax,18824.54,nM,CHEMBL1145811
CLARITHROMYCIN,CHEMBL1741,CHEMBL375,Mus musculus,1233748,CHEMBL639943,Cmax,1336.97,nM,CHEMBL1135789
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,2130385,CHEMBL922207,Cmax,3222.1,nM,CHEMBL1143870
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,2494183,CHEMBL1031330,Cmax,307.5,nM,CHEMBL1154400
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,2494184,CHEMBL1031329,Cmax,307.5,nM,CHEMBL1154400
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,2494186,CHEMBL1031327,Cmax,2954.7,nM,CHEMBL1154400
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,2494920,CHEMBL1030492,Cmax,106.96,nM,CHEMBL1154400
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,2494921,CHEMBL1030491,Cmax,93.59,nM,CHEMBL1154400
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,2494923,CHEMBL1030489,Cmax,1457.3,nM,CHEMBL1154400
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,2667149,CHEMBL1032831,Cmax,4010.91,nM,CHEMBL1151474
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,5161040,CHEMBL1655707,Cmax,1042.84,nM,CHEMBL1649161
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,17805828,CHEMBL3889368,Cmax,1336.97,nM,CHEMBL3832024
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,17805831,CHEMBL3889368,Cmax,2673.94,nM,CHEMBL3832024
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,17805833,CHEMBL3889368,Cmax,4010.91,nM,CHEMBL3832024
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,17805835,CHEMBL3889368,Cmax,1336.97,nM,CHEMBL3832024
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,17805836,CHEMBL3889368,Cmax,4010.91,nM,CHEMBL3832024
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,17805837,CHEMBL3889368,Cmax,6684.85,nM,CHEMBL3832024
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,17805839,CHEMBL3889368,Cmax,2673.94,nM,CHEMBL3832024
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,17805844,CHEMBL3889372,Cmax,2925.29,nM,CHEMBL3832033
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,17805847,CHEMBL3889372,Cmax,5290.39,nM,CHEMBL3832033
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,17805850,CHEMBL3889372,Cmax,2949.36,nM,CHEMBL3832033
CLARITHROMYCIN,CHEMBL1741,CHEMBL372,Homo sapiens,17805853,CHEMBL3889372,Cmax,4649.98,nM,CHEMBL3832033
CLARITHROMYCIN,CHEMBL1741,CHEMBL612558,ADMET,20599343,CHEMBL4603058,Cmax,3342.42,nM,CHEMBL4602606
CLAVULANIC ACID,CHEMBL777,CHEMBL612558,ADMET,2514858,CHEMBL1013272,Cmax,10544.29,nM,CHEMBL1138533
CLAVULANIC ACID,CHEMBL777,CHEMBL612558,ADMET,2515702,CHEMBL977084,Cmax,10544.29,nM,CHEMBL1138533
CLINDAMYCIN,CHEMBL1753,CHEMBL372,Homo sapiens,3385204,CHEMBL1220037,Cmax,5882.49,nM,CHEMBL1212750
CLINDAMYCIN,CHEMBL1753,CHEMBL613424,Plasma,5306503,CHEMBL1696172,Cmax,9411.99,nM,CHEMBL1687729
CLOPIDOGREL,CHEMBL1771,CHEMBL376,Rattus norvegicus,10925236,CHEMBL2045688,Cmax,21.53,nM,CHEMBL2040847
CLOTRIMAZOLE,CHEMBL104,CHEMBL372,Homo sapiens,18052134,CHEMBL4011675,Cmax,87.0,nM,CHEMBL4011582
CLOZAPINE,CHEMBL42,CHEMBL612558,ADMET,15453242,CHEMBL3532949,Cmax,6.0,nM,CHEMBL3525901
CLOZAPINE,CHEMBL42,CHEMBL612558,ADMET,19342739,CHEMBL4420029,Cmax,3490.0,nM,CHEMBL4419179
COBIMETINIB,CHEMBL2146883,CHEMBL613847,Cynomolgus monkey,15452773,CHEMBL3532790,Cmax,0.09411,nM,CHEMBL3526097
COBIMETINIB,CHEMBL2146883,CHEMBL373,Canis familiaris,15452781,CHEMBL3532782,Cmax,1.587,nM,CHEMBL3526097
COBIMETINIB,CHEMBL2146883,CHEMBL376,Rattus norvegicus,15452789,CHEMBL3539326,Cmax,0.3632,nM,CHEMBL3526097
COBIMETINIB,CHEMBL2146883,CHEMBL375,Mus musculus,15452797,CHEMBL3539021,Cmax,0.3463,nM,CHEMBL3526097
,CHEMBL140,CHEMBL372,Homo sapiens,16473268,CHEMBL3768840,Cmax,6243.38,nM,CHEMBL3763013
