Molecule Name,Molecule ChEMBL ID,Target ChEMBL ID,Target Name,Activity ID,Assay ChEMBL ID,Standard Type,Standard Value,Standard Units,Reference
ALISKIREN,CHEMBL1639,CHEMBL376,Rattus norvegicus,3076319,CHEMBL1039374,Cmax,7.249,nM,CHEMBL1153179
ALISKIREN,CHEMBL1639,CHEMBL613847,Cynomolgus monkey,3076388,CHEMBL1040234,Cmax,53.46,nM,CHEMBL1153179
ALISKIREN,CHEMBL1639,CHEMBL612558,ADMET,15443484,CHEMBL3509387,Cmax,47.12,nM,CHEMBL3508693
ALISKIREN,CHEMBL1639,CHEMBL612558,ADMET,15443485,CHEMBL3509388,Cmax,130.49,nM,CHEMBL3508693
ALISKIREN,CHEMBL1639,CHEMBL612558,ADMET,15443486,CHEMBL3509389,Cmax,366.09,nM,CHEMBL3508693
ALISKIREN,CHEMBL1639,CHEMBL612558,ADMET,15443487,CHEMBL3509390,Cmax,761.19,nM,CHEMBL3508693
ALISKIREN,CHEMBL1639,CHEMBL613847,Cynomolgus monkey,18292594,CHEMBL4122894,Cmax,6.343,nM,CHEMBL4118173
ALITRETINOIN,CHEMBL705,CHEMBL372,Homo sapiens,18228958,CHEMBL4049691,Cmax,810.0,nM,CHEMBL4049385
ALOGLIPTIN,CHEMBL376359,CHEMBL612558,ADMET,25636221,CHEMBL5366963,Cmax,1157.93,nM,CHEMBL5365448
ALOGLIPTIN,CHEMBL376359,CHEMBL612558,ADMET,25636222,CHEMBL5366964,Cmax,1317.03,nM,CHEMBL5365448
ALOGLIPTIN,CHEMBL376359,CHEMBL612558,ADMET,25636223,CHEMBL5366965,Cmax,9451.97,nM,CHEMBL5365448
ALPELISIB,CHEMBL2396661,CHEMBL373,Canis familiaris,13350665,CHEMBL2400711,Cmax,1070.0,nM,CHEMBL2396607
ALPELISIB,CHEMBL2396661,CHEMBL376,Rattus norvegicus,13350668,CHEMBL2400712,Cmax,190.0,nM,CHEMBL2396607
ALPELISIB,CHEMBL2396661,CHEMBL375,Mus musculus,13350671,CHEMBL2400717,Cmax,520.0,nM,CHEMBL2396607
ALPRAZOLAM,CHEMBL661,CHEMBL372,Homo sapiens,17805876,CHEMBL3889374,Cmax,25.91,nM,CHEMBL3832032
AMIKACIN,CHEMBL177,CHEMBL612558,ADMET,3569258,CHEMBL1279422,Cmax,1844.23,nM,CHEMBL1275422
AMIKACIN,CHEMBL177,CHEMBL613426,Serum,3569259,CHEMBL1279424,Cmax,60962.07,nM,CHEMBL1275422
AMIKACIN,CHEMBL177,CHEMBL612558,ADMET,3569261,CHEMBL1279425,Cmax,853.81,nM,CHEMBL1275422
AMIKACIN,CHEMBL177,CHEMBL372,Homo sapiens,3569262,CHEMBL1279426,Cmax,341.52,nM,CHEMBL1275422
AMOXICILLIN,CHEMBL1082,CHEMBL375,Mus musculus,1828303,CHEMBL855214,Cmax,35576.48,nM,CHEMBL1142137
AMOXICILLIN,CHEMBL1082,CHEMBL375,Mus musculus,1828304,CHEMBL855215,Cmax,76626.26,nM,CHEMBL1142137
AMOXICILLIN,CHEMBL1082,CHEMBL375,Mus musculus,1828305,CHEMBL855216,Cmax,232615.42,nM,CHEMBL1142137
