Feature,Importance
BGLAP,0.0008852362944945489
TXK,0.0008781643938230029
SCN5A,0.0008751613872852417
IL4,0.0008656958723784585
SMAD2,0.0008655643557965971
MAOA,0.000857251181184351
CYP4X1,0.000855964141332573
CD274,0.0008545141445254318
IL17F,0.0008532082212298911
IL12A,0.0008520226747221076
HSD17B8,0.0008355227345233516
SIGMAR1,0.0008255841493052859
AKR1C2,0.0008246246559719851
MMP9,0.0008243726117724826
GSTM1,0.0008221747319694121
ACE,0.0008171831918940553
GCG,0.0008167470614007056
ATM,0.0008155635095467232
MAOB,0.0008095997675724455
FGFR1OP2,0.0008095516100838817
HPRT1,0.0008072897654747133
SLC3A2,0.0008067862641084343
ISCA2,0.0008053930378563709
GSR,0.000804309594261388
DRD5,0.0007959536530990573
CKS1B,0.0007887819403155043
DBH,0.0007883103038740194
HGF,0.000785620456625245
PSMB9,0.0007856096584947958
TH,0.0007851790755207327
CDK1,0.0007844638847001928
ARL2,0.0007843706476424555
FGFR1OP,0.0007813876679793372
HCK,0.0007804499398815764
F2,0.000778429528298102
TRUB1,0.0007771186713980149
DKK1,0.0007751189769523083
EPO,0.0007750534079064488
SST,0.0007641395732669604
SCAMP3,0.0007591933775584565
IGFBP1,0.0007590524884021834
BCR,0.000753321974710385
AOX1,0.0007513586123780307
FGFR4,0.000751193469549092
SMAD3,0.0007510071493990545
NFYA,0.0007404754081253136
BDNF,0.0007358807504019583
PTK2,0.0007291750528809672
CXCL12,0.0007279726229409583
HRH2,0.0007239409865961904
HTR3A,0.0007194442738807397
CUX1,0.0007192591377920086
ERCC6,0.0007170695254473295
IL9,0.0007134041394293485
TERT,0.0007119818099141218
HBG2,0.0007031249333574097
ALOX5,0.0007029128476460272
TNFRSF10B,0.0007020564312975272
HBZ,0.0007019903828097636
APOA1,0.0006957301004237905
TRUB2,0.0006938784444661034
EPHA2,0.0006932911943865523
CYP2A6,0.0006930177669657936
NR0B2,0.0006854445999943
RXFP2,0.0006802055449090311
PPARG,0.0006783819030571501
CYP4Z1,0.0006775129409651254
MAP2K5,0.0006718969414654839
DHFR,0.0006603969616210546
PCSK9,0.0006588448776478615
GPX3,0.0006562712641139047
PRSS27,0.000655459066910575
BECN1,0.0006535453200766093
MMP2,0.0006532159722085958
CDKN1B,0.0006466017434064818
CACNA1S,0.0006448035155618827
DPP10,0.0006425742875255935
PLA2G1B,0.0006418575667058078
SERPINA6,0.0006415336203821363
HSPA4,0.0006412900510753928
ICAM1,0.0006395307235053935
PLIN2,0.0006382371349764064
MUS81,0.0006375978779884113
CRP,0.0006326064149248624
CASC3,0.0006289376879776952
CYP2F1,0.0006276958205974716
EDN1,0.0006276625432208719
TOP3A,0.000622499301000249
CYP11A1,0.0006196352506808941
MAPK12,0.0006186144756471691
HTR6,0.0006175146832788781
TNIK,0.0006138242230501863
PSMB10,0.000612553584954254
TNK2,0.0006121889799662007
