Log P_Xlogp3,bond_chiral_undef,Isotope_Atom,Count_Hydrogen Bond Donor,charge,Count_Rotatable Bond,Count_Hydrogen Bond Acceptor,atom_chiral_undef,cid,Mass_Exact,Molecular Weight_N/A,bond_chiral_def,Heavy_Atom,atom_chiral_def,Compound Complexity_N/A,Covalent_Unit,Topological_Polar Surface Area,Weight_Monoisotopic
5.1,0,0,2,0,11,9,0,208908,580.1347324,581.1,0,40,0,898,1,115,580.1347324
1.7,0,0,2,0,3,7,0,46188928,428.17723029,428.4,0,31,2,659,1,86,428.17723029
4.3,0,0,3,0,14,5,0,5311221,432.28757437,432.6,1,31,5,526,1,87,432.28757437
12.9,0,0,0,0,40,8,0,5287971,757.56215551,758.1,2,52,1,940,1,111,757.56215551
7.4,0,0,4,0,12,10,0,67505836,888.41343780,889.0,0,65,6,1820,1,175,888.41343780
2.5,0,0,1,0,2,6,0,3899,270.06161202,270.21,0,19,0,327,1,55.1,270.06161202
6.4,0,0,2,0,13,19,0,133082658,967.1435188,968.3,0,64,3,2040,1,175,967.1435188
-0.5,0,0,2,0,1,4,1,216326,259.09569129,259.26,0,19,0,437,1,92.5,259.09569129
2.8,0,0,3,0,6,5,0,9823820,426.1094828,426.9,0,30,0,634,1,116,426.1094828
-41.3,0,0,100,0,166,122,0,118856773,6977.9669487,6979,0,484,63,18600,1,3260,6974.9568842
6.9,0,0,1,0,13,8,1,65866,611.29953604,611.7,0,45,0,1090,1,114,611.29953604
4.6,0,0,1,0,7,10,0,45138674,572.20466804,572.5,0,41,1,931,1,77.8,572.20466804
2.7,0,0,0,0,3,4,0,3902,285.10144537,285.30,0,22,0,420,1,78.3,285.10144537
-1.5,0,0,2,0,3,3,0,6106,131.094628657,131.17,0,9,1,101,1,63.3,131.094628657
0.7,0,0,15,0,32,14,0,657181,1208.64546218,1209.4,0,87,9,2390,1,432,1208.64546218
3.5,0,0,1,0,2,2,0,5359371,283.193614421,283.4,0,21,3,408,1,23.5,283.193614421
1.8,0,0,0,0,1,2,0,26879,204.07211956,204.29,0,14,1,246,1,40.9,204.07211956
-0.3,0,0,1,0,3,2,0,5284583,170.105527694,170.21,0,12,1,203,1,63.4,170.105527694
2.4,0,0,2,0,6,4,0,39468,291.18344366,291.4,0,21,1,350,1,58.6,291.18344366
3.4,0,0,1,0,5,2,0,92253,288.220163521,288.4,0,21,1,321,1,32.3,288.220163521
2.5,0,0,1,0,4,5,0,54385,420.22130633,420.5,0,31,2,681,1,64.3,420.22130633
-0.2,0,0,1,0,3,3,0,10917,161.10519334,161.20,0,11,1,134,1,60.4,161.10519334
1.7,0,0,1,0,8,5,0,1549000,388.1553704,388.9,0,27,1,443,1,53,388.1553704
-2.7,0,0,4,0,3,5,0,6047,197.06880783,197.19,0,14,1,209,1,104,197.06880783
-0.4,0,0,1,0,2,8,0,149096,361.14378429,361.4,0,26,1,634,1,73.3,361.14378429
-1.2,0,0,7,0,9,10,0,135398559,473.16589610,473.4,0,34,2,911,1,216,473.16589610
3,0,0,1,0,1,1,0,16666,156.151415257,156.26,0,11,3,120,1,20.2,156.151415257
